review,rating,Label
"
It was so tight that my wife had to help me put it on. The way the tongue is connected to the inner shoe makes it a problem to put on. The arch was so hard that after walking just ten minutes my feet hurt so bad it was unbearable. I had to take them off. Then and there I knew I had to return them for a refund. I would advise not to buy shoes on line. Only buy shoes you can try on before you purchase them. Disappointed!
",1,sad
"
Most comfortable shoe I've ever owned. As a nurse I'm on my feet all day and love them!!
",5,happy
"
This is the worst nikes shoes I have ever bought . There’s too many small holes in the soles and the pebbles gets stuck like crazy. I only wore it like few days and the pebbles have already made a hole in the soles. Do not buy this shoes . I am returning it .
",1,angry
"
Very good to work at the gym
",5,happy
"
The color was the reason I  picked this shoes... very frickin  disappointed.  I'm thinking  of returning them. False advertising.
",1,sad
"
First off, I am an avid runner and have been running exclusively on Nike Free’s for over a decade. These shoes are comfortable, but they are moving backwards in design. Rocks and debris stick in the tread more than ever. The shoes are hotter, so my feet expand and my toes bruise more (I live in South Florida and it’s July). The back “lip” doesn’t let your runners socks cover and causes blisters. This is not the best Nike Free, but it’s better than your traditional Nike runner.  i run everyday with a long run once a week and my toes are bruised and nails black. This hasn’t happened since I stopped wearing cotton socks. Nike go back to your previous design...much better!  I love the design to natural motion as it creates a basis for less injury and will still run in these shoes, but there’s been better before this one.
",2,neutral
"
it was really comfy
",5,happy
"
The design of these shoes causes them to squeak with each and every step. It doesn't discriminate what surface you walk on, it squeaks regardless.
",2,sad
"
After a few months of wear I put on the shoes and as I tried to lace them up the lace holes ripped open. No way to fix them. Who knows? Maybe they're not even legit Nikes.
",1,sad
"
Ordered a size UK 9 which is what I usually am, shoe was very tight with no space between toes and top.Ended up returning and ordering a UK 10, which fits perfectly and is very comfortable and light.Great comfy shoe for running, just buy one size bigger!
",4,neutral
"
looks nice and is comfortable.Not taken them out for a long run, I just use these shoes to travel to and from work.
",4,happy
"
After buying the Nike Flex 2017 model which is very similar to the Free 2018 I expected sizing to be perfect. However, size 9 has proved to be too small this time. Also, for what you are paying I would say this isn't a great value for money shoe.
",3,sad
"
I ordered these shoes for my son’s birthday.  They were everything he wanted.  They fit perfect and looked great!
",5,happy
"
I have purchased these shoes many times for my husband in the past, the price keeps going up on this particular color. If you don't need a certain color, I would purchase the cheaper ones. (They are about half the price of this color.) This time when I received the shoes after a few days of him wearing them they began making a clicking sound every time he stepped. (Very annoying and disruptive in the workplace) I thought maybe something had gotten in the tread. We cleaned them and this did not resolve the issue. I could not return them because he had worn them. I had to purchase a second pair within a week of ordering the first pair. Very frustrating since they are over $100 pair. Hopefully you'll have better luck then us.
",4,angry
"
Just what I was expecting.
",5,happy
"
I’ve had these shoes before in different colors. Normally in he past I’ve had sizing issue with Nike shoes, but this pair fit perfectly. I absolutely reccomend these shoes. I’m ordering another pair in a different color.
",5,happy
"
A bit on the tighter side for 8.5 men.
",4,neutral
"
I bought a pair for my son at the store and he loved them. Found them on here and he needed school shoes and he wanted them. So I had to buy them.Just wish they wasn’t so expensive on here and I wish u could sell more instead of saying unavailable.
",5,happy
"
Fit as expected
",5,happy
"
Fits well and does the job.
",5,happy
"
I have purchased these shoes many times for my husband in the past, the price keeps going up on this particular color. If you don't need a certain color, I would purchase the cheaper ones. (They are about half the price of this color.) This time when I received the shoes after a few days of him wearing them they began making a clicking sound every time he stepped. (Very annoying and disruptive in the workplace) I thought maybe something had gotten in the tread. We cleaned them and this did not resolve the issue. I could not return them because he had worn them. I had to purchase a second pair within a week of ordering the first pair. Very frustrating since they are over $100 pair. Hopefully you'll have better luck then us.
",4,sad
"
These sneakers squeak like crazy when I walk.  I put some baking powder in the soles and it stops for a bit but always comes back.
",3,sad
"
Good fit, light, and stylish
",5,happy
"
Fits like a glove, they are what I'd hoped for. Just wish it had loop on heal to help pull on
",5,happy
"
I bought these for my husband and every-time he wears them for walking he says they are the best pair he’s ever had.
",5,happy
"
These are nice shoes, and are of typical Nike quality. They fit well and are true to size.
",5,happy
"
This particular Nike is a little on the hard side. Meaning, there is not as much cushion in the heel when walking, jogging or running as other Nike running shoes on the market.
",3,neutral
"
Overall, it's a good-looking pair of running shoe my kids encouraged me to purchase it. All previous running shoes are size 11 unfortunately Nike 11 squeezes my toes, the front is narrow in hindsight I should have bought size 11.5
",4,confused
"
These Nikes are good quality, light weight, well made and exactly what I was looking for. The mesh uppers let your foot breathe. The soles provide good traction for walking or working out. I haven't experienced any of the ""popping"" sound some of the other reviewers mentioned. Good shoes for the $$$.
",5,happy
"
Very nice sneaker.  Fits well. Lightweight.
",5,happy
"
I'm not sure why I care how my feet look as I jog past total strangers, but these Revolution 5 running shoes make me feel like I pop off the page when I pound pavement. They look so good -- so streamlined and uncluttered, with the iconic Nike swoosh, a color scheme that channels the original Air Jordan shoe, and a projection of class and timelessness in an era of obnoxiously loud shoe designs.What I didn't expect at this low price point is a light, breathable, elite-performing running shoe: They offer the ample cushion I now need after a period of conspicuous consumption, and feel spring-loaded as they push back against the road or sidewalk. Fit is true to U.S. sizing with no sore feet in the break-in period.An elite running shoe in every way, and the fact they're half the price of what I'm used to spending is a massive bonus. - (Was this review of use? If so, let me know by clicking ""Helpful."" Cheers!)
",5,happy
"
Looks are great. Very comfortable
",5,happy
"
This is my third pair of these shoes.  They last much longer than other tennis shoes I have owned in the past and are light weight and comfortable.
",5,happy
"
I do not use the shoe for running but its everyday durability and comfort are excellent. What's really weird about the shoe is that this tread design (I own three pairs) creates a clicking noise as I walk, perhaps a popping after some suction action on a hard floor. But since I use the shoe for everyday, it is unlikely to be a problem for a runner.
",4,neutral
"
While my son is happy with the fit and comfort, the soles are already separating from the body of the shoes after 6 weeks. He wears them for 3-4 hours a day, so I wouldn’t say that the use is out of the ordinary.  I understand that these are a low-price model of Nike, but I  expected them to hold up longer.
",3,sad
"
Was very pleased with the product I recieved
",5,happy
"
It’s perfect
",5,happy
"
Athletic shoes are so often overpriced, it’s hard to find a name brand that looks decent, is well made and will hold up. These fit the bill. Not stylish or trendy, but also not homely, these go with most of my workout and casual clothes.
",5,happy
"
After wearing the new Nike revolution 5.. I am disappointed  compared to Nike revolution 3. I do like the weight of Rev. 5 but the comfort rating has dropped and the 5 shoe feels tighter on my feet all be it the same size as the 3 was. The Rev 5 has a plastic type bottom sole compared to a rubbery on the Rev 3 which to me was better.
",3,sad
"
I have always had a hard time finding shoes that are supportive for working out.  I also, have wide feet and men’s shoes seem to fit me better than women’s sizes.  When I was younger I injured my tailbone and hip and I have a harder time with not being in back pain when I walk long distances. I liked the look and feel of these shoes because they had a knit cloth, not the leather that pinches my feet together around my toes.  When I received them, I took them on a trial and walked in the for awhile.  These shoes do have some support, however, they have memory foam in them which was not supportive enough for my knees or my back.
",4,sad
"
Comfortable and lightweight
",5,happy
"
Nothing fancy but works very well for running on trails etc. So far they have lasted longer than other running shoes I previously bought.
",4,happy
"
This pair of shoes match well with a track suit that I've had for years. Super lite and comfortable, being my left ankle swells, and I had never tried on a pair before. So comfortable that I forgot I was still wearing them once I was back home.
",5,happy
"
I like these Nike sneakers this is a good brand I have another pair that I got from JCPenney's so happened I looked up and got these
",5,neutral
"
Shoes are light and have good ventilation. Comfy once worn a couple of times. Ordering them in black too
",5,happy
"
Order 2 pairs by mistake need u to mail me a return slip we don’t have a ups around here. But he loved the shoes he kept. So please mail me a return slip. Thanks so much
",5,confused
"
These shoes are hard to find in stores in this color combo. Not able to find size on Nike website. So glad we found them here. Just like shoes bought thru Nike. So everything was as expected
",5,happy
"
Light and comfortable
",5,happy
"
Fit so well I bought a second pair!
",5,happy
"
I’m not a marathon runner and in fact I’m far from it, run about 2 miles 4-5 days a week and was looking to replace my current new balances but wanted to try something new because all I buy are NB’s. These shoes, to me, were stunning. Minute I put them on, felt comfortable, light, but the sole is deceivingly thick. But not so much that it feels like your trucking around in some basketball shoes. These also on an aesthetic level...god do they pop. I knew they were fresh as hell the moment I put them on but I got 5 compliments the first day I wore these around just to break them in. Probably going to get another pair just for walking around. I’m not some expert runner so there may be flaws to my untrained eye but I am beyond impressed with these. I go around to different brands with different athletic gear and I always wind up in one way or another going back to Nike. They’ve always had superb products and they are still at the top of their game with these shoes.
",5,happy
"
Very true to size fit.  Very comfortable.  Great shoe for workouts.
",5,happy
"
Bought these for my Son. He wears them frequently. They were true to size. They fit very well and are comfortable. Good product for the price. Well worth it.  My Son is really getting my monies worth plus some.
",5,happy
"
I IIKE THAT THESE SHOES ARE COMFORTABLE BECAUSE THEY ARE MESH.
",5,happy
"
I buy the Nike Tanjun almost religiously as a workout shoe. When I couldn't find any in stock in my size I ordered these, as they seem to be the closest shoe Nike offers. They are decent shoes as far as function goes, but they will NOT stop squeaking with every step (even after 6 months of wear). Even on carpet the shoes squeak with each step.I was also sent the wrong size shoe. I noticed some discomfort while wearing these in the first week, and upon looking saw that the right shoe was a 12 instead of a 13. I assumed I got sent a box of 12s, but upon closer inspection I received two shoes of completely different sizes.
",2,sad
"
Ordered for my SIL who works out and lifts.  He previously had a pair of these that he wore until the treads were gone.  True to size.  Great support for running (treadmill), lifting, and other cardio.  His feet are neither narrow or wide.
",5,happy
"
Let me start with I run a fair amount, usually five times a week totaling approximately 20ish miles. When I first received these shoes I was not happy with what I got. When I put them on there were gaps under the laces where you could see your socks, the tongue didn't cover all the way and it was very visible since they were black shoes. Maybe I have high arches or something but I was less than pleased, and then I went for a run. I can still see my socks but they are now my favorite running shoes, very comfortable, light and the sole design works very nicely for a heel to toe stride. I plan to buy another pair in a different color.
",5,happy
"
Really needed some comfortable shoes and I've bought these before. But, with the two local stores closing that I used to buy from - it was time to go online. Not crazy about buying clothes online in case of picking the wrong size - but these shoes fit perfect !!
",5,happy
"
So far day to day use it has been good. I ran them in today after the break in period and so far they are comfortable and have no injuries yet. They have nice air flow and this far have been easy to clean.
",5,neutral
"
These were a birthday gift for my grandson and are too small. We returned to for a refund and are still waiting on refund. How long does it take to get refunded? Ordered another pair and have received that pair and he's enjoying them.
",5,neutral
"
Sneakers is for everyday use, comfortable, very much like the blue color & satisfied
",5,happy
"
They fit perfectly.
",5,happy
"
Prefer this show more for fashion than working out. Looks nice and are comfortable. Quality made.
",5,happy
"
Bought them for my son. He loves them.
",4,happy
"
It is a good work out shoes.
",4,happy
"
Well, about a month in, there is a clicking coming from the sole of one of the shoes when pressure is put on it.  So that sucks.
",3,sad
"
They were advertised to be extra wides and when I received them they were too narrow.
",3,sad
"
I bought these shoes a couple years ago and loved them! I ended up messing them up and bought the exact same pair again because they fit perfect and you can put your feet in them too
",5,happy
"
These fit well but the shape is a little off. Yes, when I look down at my shows the toe of the left shoe is shaped slightly differently from the right. Also, they squeak. I can’t believe the soles squeak when I walk. Even though they’re comparable in price to the amount I’ve paid in the past for the Downshifter series , I’ve had 7 and 9, these Revolutions aren’t nearly as supportive and comfortable.
",3,neutral
"
The item is in good condition and meets the purpose for which l bought it for.
",5,neutral
"
Not so comfortable
",3,sad
"
Had 2 pair of Nikes previously so I was confident that the fit would be good, and it is. Very comfortable.  The wider width works with my feet!  Good value.
",4,happy
"
Ordered these for my trip to the USVI and they were exactly what I was looking for........Light weight, comfortable and highly recommended.........!
",5,happy
"
Was going to use as every day walking shoe.
",2,neutral
"
The shoes are very comfortable and bring quite a bit of gel support for my arthritic knees for walking and casual wear.  The design is stylish and classy, but not overstated.  In addition, it was great to find pretty good shoes for under $100.  Thanks Nike!  Wil from the Tampa area.
",5,happy
"
If you are running or deadlifting this is not the right shoe for you due to the sole being very thick and not ideal for those activities. But that's ok because that's not what this shoe is for. If you are looking for something dirt cheap, moderately fashionable, and durable look no further. A year later they are scuffed, dirty, but still somehow hanging on. A little part of the sole is coming off, but nothing else is coming apart. I'm tempted to wear them until they start falling apart, but it would probably take another couple years. Good buy, highly recommend.
",5,happy
"
comfortable for working on your feet for 10+ hours
",5,happy
"
It’s been 30 years since I bought a pair of Nike shoes.I’ve always wanted a pair of fire engine red sneakers, but was never able to find the right color red…… until I bought these. I have multiple pairs of Reebok sneakers, which I love, but I was never able to find the true red I was looking for until I bought these. They are light weight, fit perfect in every way.
",5,happy
"
I love these. Train in them every day.But…if you are a 4-5 mile a day person and you run on the street…the tread will wear in about 3-4 months.Light, comfortable, and they fit well, but if you put them to work, they’ll wear out on you.
",4,neutral
"
I'm a big guy who loves to run.  I put in 30+ miles of running in a week. I usually need to change my shoes out every 3-4 months. I've used all brands and styles for running, and this was one of the better ones.  Honestly, I picked it for the look and great price. I was pleasantly surprised on the nice fit and enjoyable comfort.  They held up for the 4 months  I expected.  My kids told me I had ""nice shoe game,"" as I got many compliments.  Only downside was Amazon ran out of my size, so I bought another pair from the Nike site.
",5,happy
"
The right foot of this particular pair of shoes began to pop and click when I walked a few days after I received them. Other than that, the shoes wore and fit well. I ended up returning for a refund.  A previous pair I had a did not do this.
",2,sad
"
The shoes look good and fit's good. The only problem is there is a seam on the right shoe that protrudes a bit on the back of the heal, requiring heavy socks to prevent discomfort.  7 months later The right shoe developed a click INSIDE the sole. Can not figure out to fix it . I will try to go through Nike customer service.
",4,confused
"
Surprised how good this shoe is! Love it!
",5,happy
"
I purchased issues from my husband and the normal size of he wears. They fit him perfectly and I will definitely buy again.
",5,happy
"
The shoes arrived exactly as promised without any damage to the product. When they arrived I immediately tried them on. I was thoroughly amazed at how comfortable and lightweight the shoes were. I've had them on for more than 2 hours now and the fit and feel couldn't be better. I order my regular shoe size and they fit great. I highly recommend these to all my friends.
",5,happy
"
These are amazing shoes, yet apparently some factory defect and my right shoe has a little “spike” on the outer side that really bothers as it rubs against the ankle bone. I may need to add an extra sole to raise my feet to prevent this, or use very thick socks, unfortunately I live in a tropical hot weather 😅
",3,confused
"
These were too small. We had to return. Very tight fit for my hubs and he has a narrow foot. I suggest buying a size up.
",3,sad
"
I love these shoes. I normally do not purchase shoes online but I found this pair with this seller and I love Nike shoes which I usually purchase through the Nike Employee Store in Beaverton Oregon, but because of the COVID-19 that store has been closed for a month and I have limited access when that store is open. I found these pair on line and the price was actually really good. The shoes fit perfectly and they are super light and great for running. What a difference. I completely recommend these shoes. If you are looking for a really light fully supportive running shoe look no further. Way to go Nike.
",5,happy
"
Love this shoes comfortable and light
",5,happy
"
My favorite show for anything.
",5,happy
"
I love the price and size, great shoe
",5,happy
"
My husband does find these comfortable, but they do make a weird popping noise when he walks on slicker surfaces. It's so loud that you could hear it when we were walking through a busy airport.
",4,confused
"
Bought two pair. Gray ones and a red  & white pair. Wore them a couple months.  The Grey pair still comfortable wear them all the time. The red ones have a seem that started rubbing and hurts.  Not sure why same size and everything.
",4,confused
"
Fits my husband perfectly
",5,happy
"
I would consider myself a shoe collector and these are nice because the sole is a bit of a gray color instead of white, which always gets dirty too quickly. I dig them
",5,happy
"
Very comfortable
",5,happy
"
love the way the tennis fits and look.
",5,happy
"
You can really seeing the quality of Nike's going down in recent years. You notice it in the back of the shoe. Much less material there, so much so it is even difficult to get on.
",3,sad
"
My husband loves these shoes, but with every step on a hard surface, there is a loud click or pop under the ball of the feet. It's really annoying.Hard to believe this happens from a shoe made by Nike.
",3,angry
"
Feels hard with no cushion. Although the sneakers looked nice but is not comfortable and when walked on hard surface it makes clapping sound.
",3,sad
"
Nice comfortable shoes for my husband. He normally wears a 10.5 but gets an 11 for comfort. But these were still a little tight he needed an 11.5 but he said it's livable. So I'd recommend to size up .5 -1 size. Nice runners aside from that
",4,neutral
"
These have to be some of the comfiest shoes I have gotten at this price point but now comes the bad. Since the first time I took them to the gym for a run I heard a squeakiness come from them - At first I thought it was just me but it continues to happen. I wondered if it was just my sweat rubbing inside the shoe but later on found out that the rubber on the bottom was what was squeaking which happens all the time during normal use and during workouts. I used them roughly a few months before getting tired of it where the squeak drives you crazy. I’ve heard this is hit and miss with this shoe but since ive had it for a while I’m just going to find new shoes. If you get a squeaky pair have them swapped ASAP as it will NOT go away.
",3,sad
"
The packaging was terrible the show box was smashed and had no top of the box only the bottom other than that it was fine surprisingly there was no visible damage to the shoes
",3,neutral
"
I never even got to wear the pair I ordered due to a shipping technicality. But considering the track record I’ve had with Nike, all the highest scores are too be expected and earned. A wise purchase :)
",4,happy
"
Bought this shoe for walking around on my trip to Vegas. Did not disappoint. Good look and kept my feet comfortable.
",5,happy
"
Runs small
",5,sad
"
For the price I paid, I thought I was going to get more comfort, a bit lighter and a more flexible sole! I am using them everyday to exercise and they are OK, but I have to express my disappointment.
",3,confused
"
I love these shoes except for one small problem. They are not slip resistant at all. The slightest lack of friction can have you fumbling. It's more for walking at a moderate pace or home use. This shoe would be perfect if there was more grip at the bottom. Other similar Nike shoe's had it so why not these?
",4,confused
"
The shoes are very comfortable, even when worn for long periods of time. They offer good support and fit snugly around my feet. However they don't last very long. After only a few months, the outsole began to separate at the toe and wear out along the inside edge. While I wear them everyday, I am gentle with my things and have not done any strenuous activity with them, even though they are marketed as athletic shoes.
",3,sad
"
Good shoes, light weight, good for a good run or walk. I drive a lot and find these uncomfortable on long hour drives
",4,neutral
"
good looking shoe. Comfortable, versatile for most casual occasions
",5,happy
"
This shoe was wide enough that my foot no longer arches in or squishes upwards.
",5,happy
"
I buy Nike shoes regularly. No disappointments. Very comfortable.
",5,happy
"
I am a woman with wide flat feet and I ordered the 8.5 mens shoes.  I've done with this with Nike shoes before, and haven't had a fit issue.  In fact, I have the Nike Mens Metcons 3 in 8.5 and use those for crossfit and those work perfectly ( except that the shoes squeak, but whatever.)  I bought this pair to use strictly for walking/running and the this particular fit is just too narrow.  About 20 minutes in, my arches and heel start to throb.  They fit like a womens width, in my opinion.  So, end of story, good for running errands, but not long walks or actual running.
",3,sad
"
I got a size 9 like I always do, but i think in these shoes I need a 9.5 or even a 10. They are very tight. I checked the label and indeed it is a size 9
",4,confused
"
These shoes are a game changer. I’m on my feet for 10+ hours a day. I didn’t know I needed these shoes. Great investment. Considering upgrading to vapor airs when these eventually bite the dust.
",5,happy
"
Lightweight and fit great.
",5,happy
"
I have been running in Revolutions for years now. The 5 is a big improvement over the 4. For my foot type, the 4 climbed up too high and rubbed against my ankle. The 5 is much more comfortable. Everybody has different feet, but these definitely work nicely for the basic health-maintenance type of running that I do.
",5,happy
"
My boyfriend and I wear everything Nike, bought these for him to wear to the gym after seven months they have completely fallen apart. When he first got them they were comfortable and fit perfectly. They are very comfortable and worth the money just wish they didn’t fall apart so easily after not even a year of wearing them.
",3,sad
"
My son love it for the gym and trail walking
",5,happy
"
Shoe is lightweight and fits great feels so good on the feet while running good padding
",5,happy
"
Comfortable and lightweight. However, these shoes have developed an obnoxiously lout squeak while walking. Not like, my shoes are wet, pardon the squeak, but when dry, walking on both hard and soft carpeted flooring. I've looked around and this is a fairly common complaint with a few Nike shoes, including the Monarchs.I won't be buying these shoes again and would discourage anyone from buying them unless you want people to look at you like WTF while walking through the grocery store.
",3,neutral
"
I like the shoe. It’s a nice looking shoe which i use for walking, many running shoes are also Used as a walking shoe, very good support. The NIKE brand is a trusted quality product. As of now the shoe works 4 me. The only issue I had with the shoe is the toe area is slightly narrow....for my foot. I just used my shoe “stretchers”, problem solved😇😇😇
",5,happy
"
Shoes were intended for son who's 12.  Currently wears 7.5 but got 8 to account for growth.  Turns out shoes were way too small - more like size 7.
",3,confused
"
Bought as a Christmas gift not sure if he really likes them but they’re not that light weight. The box it arrived in was pretty mangled.
",4,neutral
"
These are my husband’s favorite sneakers for pickle ball!
",5,happy
"
Coming from nike air pegasus and air vomeros...which were nice, this one does not have any Nike air unit. But for casual walking the dog etc, these are perfect at 1/3 the price of the high end premium nikes. The best pro about this shoe is the nike heel lock design that was also included on the Air Vomeros...best design for the heel in my opinion(easy to slip on and stays locked down in place while running or walking). Can't wait to see what the Revolution 6 will look like.
",5,happy
"
Shoe fit was a little tight should have ordered a 1/2 size larger. I recently ordered a 2nd pair in Gray and found at 1/2 inch the shoe was still too small.
",4,neutral
"
My size is 8.5, but these shoes are smaller. The 9 size is too big for me.
",4,neutral
"
Looks good and quality is good. Feels good for walking and gym. But it’s not for running or hiking. I have ran many miles with different shoes and this one is not that type. Slow response to gravity and you could be halfway down before you know you’ve slipped. It’s also heavy which slows down your pace.
",3,confused
"
Great sneakers, but they make a weird squeaking sound. Definitely no sneaking going on in these shoes.
",4,happy
"
One of the shoes makes a weird noise when I am walking, does not affect usability or efficiency but can be annoying.
",4,neutral
"
After 4 months of normal use, shoe is completely falling apart. Purchase from seller BusBrand Shop. Nike won’t offer support unless purchased from a Nike store. Seller has no contact information except number for Nike!! Good luck if you purchase on Amazon, the normal 2 year Nike warranty from manufacture date apparently goes out the window if you have any problems outside the Amazon return window.
",1,sad
"
I thought I ordered it 7.5 wide, but I was wrong. I forgot it didn't have a size in wide. The shoe was fine. It fit good. I just wish it was shipped differently. It came in a bag, but it would have been nice if it was shipped in a box.
",4,neutral
"
Nike fits perfectly. I'm a 10.5, and they are a 10.5.
",4,happy
"
Fits really well and when sizing, keep in mind most Nike shoes tend to be a half size smaller than other brands.
",5,happy
"
Very comfortable shoe, but both shoes squeak when I walk. They don't always squeak but after I have had them on for a few hours they begin to squeak. Very annoying.
",4,sad
